latitude,longitude,CrimeCount,ViolentCount,CrimeDensity,ViolentRatio,DistanceFromCenter,Risk
41.766609755,-87.571418131,1.0,0.0,0.0002734062213949975,0.0,0.12585117146095495,1.0
41.719901014,-87.56349042,2.0,2.0,0.0005474742047570972,1.0,0.17153390210453007,0.0
41.880992442,-87.704486793,2.0,0.0,0.0005444916443776588,0.0,0.07474278071725646,1.0
41.745807057,-87.604266485,2.0,1.0,0.0005468797928380606,0.5,0.1347344913370649,0.0
41.909921897,-87.723247929,1.0,0.0,0.00027199971286690004,0.0,0.09871751902811308,
41.960932247,-87.656312031,1.0,0.0,0.0002718765041538218,0.0,0.08697165590474615,
41.9483608,-87.644281169,2.0,0.0,0.0005439906278241713,0.0,0.07173760709869209,
41.895834343,-87.758073485,1.0,0.0,0.0002719831977361945,0.0,0.12949360553975287,0.0
41.902680701,-87.72547682,1.0,0.0,0.00027203980505128867,0.0,0.09878392959870848,
41.762760741,-87.645559455,1.0,0.0,0.00027320011784004455,0.0,0.11641093199767141,0.0
41.748289664,-87.642752968,2.0,1.0,0.0005466071354933323,0.5,0.1304549834710932,0.0
41.962329807,-87.655510399,1.0,0.0,0.000271869935574176,0.0,0.08806636704211167,
41.736445984,-87.702044445,1.0,0.0,0.0002731963030448718,0.0,0.15901295570577495,0.0
41.82048465,-87.691662775,1.0,0.0,0.0002726795907086943,0.0,0.08453716038715248,0.0
41.852840227,-87.694242877,1.0,0.0,0.0002724607712211002,0.0,0.0692166203165651,0.0
41.867786016,-87.660236513,1.0,0.0,0.0002724691682991207,0.0,0.03213657712873978,1.0
41.96913938,-87.651080731,1.0,1.0,0.00027183956156028613,1.0,0.09349351968279931,
41.955699776,-87.654576994,1.0,0.0,0.0002719157932129018,0.0,0.081459343644089,
41.938914416,-87.659871272,2.0,0.0,0.0005440163878374019,0.0,0.06784301432807227,
42.003704381,-87.659295121,1.0,0.0,0.0002715904111781199,0.0,0.12902101646319633,
41.793067368,-87.693780868,1.0,0.0,0.00027285188481030587,0.0,0.10641475449805436,1.0
41.705202166,-87.634747429,1.0,0.0,0.00027361092221177193,0.0,0.17296860424829405,0.0
41.945939704,-87.668836294,3.0,0.0,0.0008158044776571202,0.0,0.07826913624195106,
41.940869643,-87.730730538,2.0,0.0,0.0005435516502120281,0.0,0.11885706366605384,
41.812309912,-87.60175575,1.0,0.0,0.0002730128123412813,0.0,0.07151793926778564,0.0
41.881460235,-87.666287968,1.0,0.0,0.00027236140567837256,0.0,0.03664236602656049,0.0
41.934838951,-87.703829477,1.0,0.0,0.0002718982822150008,0.0,0.09327203238631267,
41.880318706,-87.759237186,1.0,0.0,0.0002720803530045338,0.0,0.12945620022196844,0.0
41.997654187,-87.760486741,1.0,0.0,0.0002713163360184745,0.0,0.17712207062483587,
41.893290198,-87.670473139,1.0,0.0,0.00027227149719566553,0.0,0.043417120487105554,0.0
41.881948328,-87.733902763,1.0,0.0,0.00027214833043593485,0.0,0.10417386856899272,0.0
41.712098794,-87.663815353,1.0,0.0,0.00027347497369191296,0.0,0.16945041939508593,0.0
41.812213795,-87.704136552,2.0,0.0,0.0005453894792672877,0.0,0.09933234605379118,0.0
41.787143336,-87.638189025,1.0,0.0,0.000273063669804467,0.0,0.09134270888505652,0.0
41.884367091,-87.65609271,1.0,0.0,0.00027237417935835296,0.0,0.02702929944978183,0.0
41.738480703,-87.682579602,1.0,1.0,0.00027324362940804305,1.0,0.1492623009405039,0.0
41.763438371,-87.574890152,1.0,0.0,0.0002734161426323436,0.0,0.12713135164985295,0.0
41.756055853,-87.710919553,1.0,1.0,0.00027304037141455764,1.0,0.14654404012404373,1.0
41.793150705,-87.664560397,1.0,0.0,0.00027294228791567424,0.0,0.09178598978381619,0.0
41.76948137,-87.671225068,1.0,0.0,0.00027307619443237035,0.0,0.11624991630913814,0.0
41.967947564,-87.713350988,1.0,1.0,0.0002716542890409216,1.0,0.12269210387188458,
42.020537666,-87.666422486,3.0,0.0,0.0008143786237854021,0.0,0.14707037491061029,
41.926755059,-87.642367657,1.0,1.0,0.00027214142041713654,1.0,0.050251972784784285,
41.750662307,-87.605223004,1.0,0.0,0.00027340511245402374,0.0,0.12978595582553523,0.0
41.918716088,-87.684991799,1.0,0.0,0.0002720612956327129,0.0,0.06852591685836462,
41.793072339,-87.674268074,1.0,0.0,0.00027291257829239145,0.0,0.09595370102502938,0.0
41.795218951,-87.778238162,1.0,0.0,0.0002725753231517431,0.0,0.1700092827503136,0.0
41.968639933,-87.771072281,1.0,0.0,0.00027147116117084253,0.0,0.16779552093720002,
41.896240558,-87.691786528,1.0,0.0,0.000272186153045374,0.0,0.06458644980214534,0.0
41.845155156,-87.719698069,1.0,1.0,0.0002724317306672719,1.0,0.09574458499629916,0.0
41.872516304,-87.662444954,1.0,0.0,0.0002724315243644451,0.0,0.03311903806999822,0.0
41.763738339,-87.622665645,1.0,0.0,0.0002732651021286851,0.0,0.11458398024133165,0.0
41.852514964,-87.695464725,1.0,0.0,0.0002724590925048977,0.0,0.07047304574407028,0.0
41.809028743,-87.727302,1.0,0.0,0.0002726434999733803,0.0,0.11948840340199973,0.0
41.930829904,-87.799786538,1.0,1.0,0.00027162709053892123,1.0,0.17797714987344695,
41.957372452,-87.656217356,1.0,0.0,0.00027189986467970146,0.0,0.08355835292849241,
41.90002373,-87.62305924,1.0,1.0,0.0002723750476076802,1.0,0.022936603551755076,
41.884534086,-87.646781557,2.0,2.0,0.0005448040578807878,1.0,0.018159590876432933,1.0
